  date    | value

Invalid Dates
1900-02-29 | 1
1900-02-30 | 1
1900-03-32 | 1
1900-03-32 | 1
1900-11-31 | 1
1900-09-31 | 1
1901-02-29 | 1
1901-02-twentynine | 1

Invalid Values
1900-01-11 | 2147483648
1901-03-15 | wrong
1901-03-16 | -1
1901-03-17 | 1001
1901-03-18 | -1.0
1901-03-19 | 1000.01
1901-03-20 | 1.4.6
1901-03-21 | 1.0Float
1901-03-22 | 1.0d
1901-42-42 | 456

No Earlier Entry
2009-01-01 | 1

Valid Entries
2009-01-04 | 1
2009-01-06 | 1
2009-01-08 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | 1
2011-01-03 | 091
2011-01-09 | 1.5f
2011-01-09 | 1.5F
2012-01-05 | 6.6
2012-01-08 | 7.2
2012-01-11 | 7.1
2012-01-14 | 6.81
2012-01-17 | 6.97
2012-01-20 | 6.57
2012-01-23 | 6.47
2012-01-26 | 6.08
2012-01-29 | 5.72
2012-02-01 | 5.77
2012-02-04 | 5.99
2012-02-07 | 5.74
2012-02-10 | 5.94
2012-02-13 | 5.69
2012-02-16 | 4.74
2012-02-19 | 4.38
2012-02-22 | 4.63
2012-02-25 | 5.05
2012-02-26 | 42
2012-02-28 | 4.98
